date,site,Borough,Pathway,NMCTR external delay,Total external delay days
12/06/2024,UHL,Greenwich,Pathway 3,4,31
12/06/2024,UHL,Lewisham,Pathway 0,4,23
12/06/2024,UHL,Lewisham,Pathway 1,16,72
12/06/2024,UHL,Lewisham,Pathway 2,7,52
12/06/2024,UHL,Lewisham,Pathway 3,16,136
12/06/2024,UHL,Other,Pathway 0,2,19
12/06/2024,UHL,Other,Pathway 1,2,12
12/06/2024,UHL,Other,Pathway 2,2,9
12/06/2024,UHL,Other,Pathway 3,1,3
13/06/2024,QEH,Bexley,Pathway 0,2,2
13/06/2024,QEH,Bexley,Pathway 1,4,9
13/06/2024,QEH,Bexley,Pathway 2,7,66
13/06/2024,QEH,Bexley,Pathway 3,6,57
13/06/2024,QEH,Greenwich,Pathway 0,2,8
13/06/2024,QEH,Greenwich,Pathway 1,15,53
13/06/2024,QEH,Greenwich,Pathway 2,8,45
13/06/2024,QEH,Greenwich,Pathway 3,7,59
13/06/2024,QEH,Other,Pathway 0,2,7
13/06/2024,QEH,Other,Pathway 2,3,30
13/06/2024,UHL,Bexley,Pathway 3,4,41
13/06/2024,UHL,Greenwich,Pathway 0,1,3
13/06/2024,UHL,Greenwich,Pathway 1,2,15
13/06/2024,UHL,Greenwich,Pathway 2,1,1
13/06/2024,UHL,Greenwich,Pathway 3,4,35
13/06/2024,UHL,Lewisham,Pathway 0,7,30
13/06/2024,UHL,Lewisham,Pathway 1,15,77
13/06/2024,UHL,Lewisham,Pathway 2,7,43
13/06/2024,UHL,Lewisham,Pathway 3,16,150
13/06/2024,UHL,Other,Pathway 0,2,12
13/06/2024,UHL,Other,Pathway 1,2,14
13/06/2024,UHL,Other,Pathway 2,1,2
13/06/2024,UHL,Other,Pathway 3,2,14
14/06/2024,QEH,Bexley,Pathway 0,4,6
14/06/2024,QEH,Bexley,Pathway 1,5,18
14/06/2024,QEH,Bexley,Pathway 2,6,64
14/06/2024,QEH,Bexley,Pathway 3,4,40
14/06/2024,QEH,Greenwich,Pathway 0,3,4
14/06/2024,QEH,Greenwich,Pathway 1,7,14
14/06/2024,QEH,Greenwich,Pathway 2,8,62
14/06/2024,QEH,Greenwich,Pathway 3,8,74
14/06/2024,QEH,Other,Pathway 0,1,6
14/06/2024,QEH,Other,Pathway 1,1,2
14/06/2024,QEH,Other,Pathway 2,3,33
14/06/2024,QEH,Other,Pathway 3,1,3
14/06/2024,UHL,Bexley,Pathway 3,4,45
14/06/2024,UHL,Greenwich,Pathway 0,1,4
14/06/2024,UHL,Greenwich,Pathway 1,2,17
14/06/2024,UHL,Greenwich,Pathway 2,1,2
14/06/2024,UHL,Greenwich,Pathway 3,4,39
14/06/2024,UHL,Lewisham,Pathway 0,5,23
14/06/2024,UHL,Lewisham,Pathway 1,11,80
14/06/2024,UHL,Lewisham,Pathway 2,6,40
14/06/2024,UHL,Lewisham,Pathway 3,15,154
14/06/2024,UHL,Other,Pathway 0,2,14
14/06/2024,UHL,Other,Pathway 1,2,16
14/06/2024,UHL,Other,Pathway 3,2,16
15/06/2024,QEH,Bexley,Pathway 0,4,10
15/06/2024,QEH,Bexley,Pathway 1,4,17
